question,answer,dummy1,dummy2,dummy3
achieve,達成する,諦める,避ける,失敗する
environment,環境,経済,娯楽,伝統
describe,説明する,破壊する,発見する,招待する
opportunity,機会,困難,結論,責任
improve,改善する,減少する,準備する,混乱させる
evidence,証拠,想像,知識,意見
attractive,魅力的な,攻撃的な,絶望的な,典型的な
develop,発達させる,繰り返す,分離する,無視する
artificial,人工的な,伝統的な,基礎的な,効率的な
challenge,挑戦,休憩,謝罪,信頼
immediate,即座の,永遠の,貴重な,慎重な
provide,提供する,奪う,禁止する,期待する
essential,不可欠な,些細な,曖昧な,危険な
experience,経験,実験,表現,展示
reduce,減らす,増やす,許す,混ぜる
common,共通の,奇妙な,高価な,複雑な
government,政府,企業,教育,宗教
allow,許可する,拒否する,疑う,驚かせる
decision,決定,議論,競争,苦情
individual,個人の,社会の,地元の,国際的な
prepare,準備する,生産する,比較する,解決する
available,利用可能な,貴重な,空の,遠い
advantage,利点,欠点,距離,影響
recognize,識別する,忘れる,隠す,探す
prevent,防ぐ,勧める,励ます,似ている
curious,好奇心の強い,勇敢な,寛容な,頑固な
encourage,励ます,脅す,避ける,批判する
necessary,必要な,不要な,便利な,快適な
success,成功,失敗,努力,幸運
explore,探検する,爆発する,説明する,除外する
pollution,汚染,解決,発明,保存
believe,信じる,疑う,期待する,想像する
creative,創造的な,伝統的な,保守的な,受動的な
material,材料,精神,幽霊,筋肉
suggest,提案する,拒絶する,攻撃する,命令する
focus,集中する,散る,隠れる,壊れる
reliable,信頼できる,疑わしい,怠惰な,複雑な
compare,比較する,結合する,保存する,修理する
international,国際的な,国内の,地方の,伝統的な
variety,多様性,類似性,安全性,可能性
complain,苦情を言う,賞賛する,同意する,説明する
destination,目的地,出発地,乗り換え,距離
expert,専門家,初心者,犯人,犠牲者
average,平均の,極端な,最高の,最低の
communicate,伝える,隠す,止める,無視する
dangerous,危険な,安全な,静かな,賑やかな
efficient,効率的な,無駄な,遅い,古い
popular,人気のある,孤立した,厳しい,謙虚な
satisfied,満足した,失望した,驚いた,怒った
tradition,伝統,流行,科学,経済
advertise,宣伝する,隠す,消費する,製造する
behavior,振る舞い,外見,思考,感情
convenient,便利な,面倒な,遠い,高価な
education,教育,労働,貿易,農業
favorite,お気に入りの,嫌いな,普通の,珍しい
graduated,卒業した,入学した,失敗した,出席した
history,歴史,数学,地理,科学
include,含む,除外する,分ける,減らす
journey,旅,競争,衝突,休息
knowledge,知識,秘密,夢,嘘
local,地元の,世界的な,都市の,宇宙の
machine,機械,道具,建物,植物
nature,自然,文明,技術,政治
opinion,意見,事実,証拠,疑問
patient,忍耐強い,短気な,傲慢な,怠惰な
quality,質,量,重さ,長さ
respect,尊敬する,軽蔑する,恐れる,怒る
situation,状況,解決,理由,目的
technology,技術,自然,芸術,宗教
uniform,制服,私服,装備,道具
vegetable,野菜,果物,肉,穀物
weather,天気,季節,気温,地震
youth,若さ,老い,子供時代,未来
zero,ゼロ,全て,半分,多数
accept,受け入れる,断る,投げる,壊す
bridge,橋,道路,壁,窓
century,世紀,年,月,日
degree,程度,速度,角度,温度
energy,エネルギー,疲労,休息,沈黙
festival,祭り,会議,試験,葬式
guest,客,主人,敵,泥棒
health,健康,病気,病院,薬
interest,興味,退屈,恐怖,怒り
kitchen,台所,寝室,居間,風呂
language,言語,文字,記号,数字
memory,記憶,忘却,想像,夢
nervous,緊張した,落ち着いた,幸福な,悲しい
orange,オレンジ,リンゴ,バナナ,ブドウ
perfect,完璧な,不完全な,欠陥のある,悪い
quick,速い,遅い,強い,弱い
result,結果,原因,過程,始まり
social,社会的な,個人的な,私的な,孤立した
tourist,観光客,住民,案内人,運転手
useful,役に立つ,無益な,有害な,危険な
village,村,都市,国,島
weight,重さ,高さ,広さ,深さ
x-ray,X線,光,音,熱
yesterday,昨日,明日,今日,先週
zoo,動物園,公園,図書館,博物館
ability,能力,性格,習慣,運
concentrate,集中する,妥協する,祝う,循環する
consequence,結果,寄付,建設,快適さ
determine,決定する,延期する,衰退する,配達する
enormous,巨大な,謙虚な,壊れやすい,奇妙な
flexible,柔軟な,貴重な,有害な,絶望的な
guarantee,保証する,卒業する,収穫する,発生する
hesitate,躊躇する,誇張する,移住する,支配する
influence,影響,呼吸,許可,罰
justify,正当化する,組織する,出版する,満足させる
knowledge,知識,誠実,謝罪,信頼
leisure,余暇,圧力,測定,正義
maintain,維持する,獲得する,驚かせる,変換する
numerous,多数の,肯定的な,極端な,唯一の
obstacle,障害,義務,機会,観察
persuade,説得する,保存する,実行する,予測する
qualify,資格を与える,定義する,蓄積する,制限する
reliable,信頼できる,責任がある,創造的な,寛容な
substitute,代用する,提出する,疑う,登録する
temporary,一時的な,永遠の,現代の,魅力的な
urgent,緊急の,有能な,秘密の,基礎的な
vague,曖昧な,鋭い,退屈な,正確な
withdraw,撤退させる,組み立てる,蓄える,抗議する
yield,産出する,無視する,震える,避ける
accurate,正確な,適切な,繊細な,原始的な
beneficial,有益な,商業的な,伝統的な,心理的な
comprehensive,包括的な,論理的な,感情的な,肯定的な
dedicate,捧げる,装飾する,配達する,派生する
emerge,現れる,浸透する,消える,結合する
fragile,壊れやすい,高価な,複雑な,活発な
genuine,本物の,寛大な,誠実な,深刻な
hypothesis,仮説,結論,衝撃,効率
illustrate,説明する,祝う,翻訳する,誇張する
jealous,嫉妬深い,寛大な,謙虚な,勇敢な
kidney,腎臓,肝臓,肺,心臓
loose,ゆるい,きつい,鋭い,鈍い
magnificent,壮大な,些細な,悲惨な,退屈な
negotiate,交渉する,否定する,航海する,命名する
optimistic,楽観的な,悲観的な,現実的な,疑い深い
precious,貴重な,正確な,以前の,基礎的な
quarrel,口論する,質問する,休息する,修理する
rural,田舎の,都会の,国際の,沿岸の
stable,安定した,急激な,複雑な,疑わしい
thrive,繁栄する,脅迫する,震える,投げる
unique,独特な,一般的な,共通の,退屈な
vertical,垂直の,水平の,斜めの,逆の
wealthy,裕福な,貧しい,健康な,賢い
xenophobia,外国人嫌悪,閉所恐怖症,高所恐怖症,暗闇恐怖症
yearn,切望する,叫ぶ,あくびする,降参する
zeal,熱意,絶望,恐怖,軽蔑
abandon,捨てる,雇う,組み立てる,調整する
boast,自慢する,借りる,埋める,燃える
capacity,容量,都市,通貨,修正
decade,10年間,1年間,100年間,1000年間
emphasize,強調する,奨励する,従う,許す
fascinate,魅了する,怖がらせる,飽きさせる,侮辱する
generous,寛大な,貪欲な,慎重な,厳しい
heritage,遺産,幸福,知識,運命
inevitable,避けられない,信じられない,快適な,価値のない
laboratory,研究所,図書館,博物館,体育館
mature,成熟した,現代の,未知の,基礎的な
native,母国の,外国の,奇妙な,古代の
objective,客観的な,主観的な,肯定的な,否定的な
participate,参加する,分離する,準備する,予測する
questionnaire,アンケート,領収書,契約書,証明書
radical,根本的な,伝統的な,穏やかな,些細な
skeptical,懐疑的な,熱心な,確信している,盲目的な
tremendous,巨大な,退屈な,正確な,繊細な
utter,発する,隠す,壊す,洗う
visible,目に見える,貴重な,複雑な,危険な
witness,目撃する,囁く,願う,働く
yacht,ヨット,飛行機,列車,バス
abolish,廃止する,設立する,改善する,維持する
beverage,飲料,食べ物,薬,燃料
coincide,同時に起こる,協力する,衝突する,比較する
desperate,絶望的な,確信した,裕福な,幸運な
equivalent,同等の,異なる,特有の,以前の
frequent,頻繁な,珍しい,永遠の,即座の
gradual,徐々の,急激な,突然の,一時的な
humiliate,恥をかかせる,称賛する,慰める,喜ばせる
infect,感染させる,注入する,解放する,調査する
judge,判断する,招待する,結合する,命令する
keen,鋭い,鈍い,弱い,醜い
liberal,自由主義の,保守的な,厳格な,偏った
mineral,鉱物,植物,動物,液体
notify,通知する,否定する,無視する,妨害する
overwhelm,圧倒する,追い越す,転倒する,減少する
primitive,原始的な,近代的な,複雑な,高度な
quote,引用する,質問する,終了する,抗議する
reveal,明らかにする,隠す,繰り返す,拒絶する
sophisticated,洗練された,単純な,古臭い,粗末な
tolerate,許容する,翻訳する,輸送する,整理する
undergo,経験する,署名する,推測する,団結する
versatile,多才な,頑固な,脆弱な,傲慢な
welfare,福祉,運命,冒険,利益
yield,屈服する,反抗する,参加する,支配する
zone,地帯,建物,道路,季節
abstract,抽象的な,具体的な,複雑な,明確な
bizarre,奇妙な,典型的な,穏やかな,勇敢な
clarify,明確にする,分類する,収集する,構築する
accommodate,収容する,蓄積する,達成する,告発する
beneficial,有益な,商業的な,伝統的な,心理的な
collaborate,協力する,衝突する,計算する,祝う
deteriorate,悪化する,決定する,描写する,逸脱する
eliminate,排除する,推定する,照らす,誇張する
facilitate,促進する,捏造する,魅了する,変動する
genuine,本物の,寛大な,誠実な,深刻な
hazardous,有害な,謙虚な,壊れやすい,奇妙な
implement,実行する,暗示する,課す,改善する
jeopardize,危うくする,正当化する,結合する,司法の
legitimate,合法的な,些細な,文字通りの,寛大な
manipulate,操る,維持する,顕在化する,監視する
negligible,無視できるほどの,否定的な,交渉可能な,高貴な
obsolete,時代遅れの,頑固な,明白な,執拗な
pessimistic,悲観的な,楽観的な,現実的な,疑い深い
quarantine,隔離する,質問する,鎮める,引用する
reluctant,気が進まない,責任がある,関連がある,弾力性のある
spontaneous,自発的な,疑わしい,表面的な,連続的な
thrive,繁栄する,脅迫する,震える,投げる
ultimate,究極の,以前の,独特な,普遍的な
vulnerable,脆弱な,貴重な,多才な,活発な
withstand,耐える,撤退する,蓄える,抗議する
yield,産出する,無視する,震える,避ける
advocate,提唱する,避ける,依存する,軽視する
bewildered,当惑した,確信した,退屈した,満足した
coincide,同時に起こる,協力する,衝突する,比較する
deficient,不足した,効率的な,明確な,繊細な
eccentric,風変わりな,経済的な,効率的な,感情的な
formidable,手強い,壊れやすい,形式的な,基礎的な
grievance,苦情,欲望,幸福,遺産
inevitable,避けられない,信じられない,快適な,価値のない
lucrative,利益の上がる,贅沢な,幸運な,論理的な
meticulous,細心の,悪意のある,湿った,中等度の
nominate,指名する,否定する,航海する,注目する
orthodox,正統派の,奇妙な,時代遅れの,曖昧な
prestigious,名声のある,正確な,以前の,基礎的な
redundant,余剰の,減少した,頑丈な,信頼できる
scrutinize,精査する,散乱させる,囁く,救う
tangible,具体的な,些細な,退屈な,一時的な
unanimous,全員一致の,独特な,普遍的な,匿名の
verify,検証する,変化する,嫌う,振る
warrant,正当な理由,警告,武器,知恵
exaggerate,誇張する,展示する,実行する,消耗させる
versatile,多才な,頑固な,脆弱な,傲慢な
zeal,熱意,絶望,恐怖,軽蔑
alleviate,緩和する,蓄積する,割り当てる,変更する
ambivalent,相反する感情を持つ,曖昧な,意欲的な,慈悲深い
coherent,一貫した,複雑な,協力的な,秘密の
controversial,論争を呼ぶ,商業的な,伝統的な,心理的な
discrepancy,矛盾,分離,展示,規律
eloquent,雄弁な,優雅な,感情的な,効率的な
fluctuate,変動する,促進する,魅了する,捏造する
hostile,敵意のある,謙虚な,壊れやすい,奇妙な
indigenous,先住の,勤勉な,独創的な,寛大な
intermittent,断続的な,内部の,即座の,基礎的な
lavish,贅沢な,些細な,文字通りの,寛大な
mundane,平凡な,現代の,壮大な,唯一の
notorious,悪名高い,顕著な,高貴な,明白な
ornament,装飾品,義務,機会,観察
prominent,著名な,肯定的な,極端な,唯一の
resilient,弾力性のある,気が進まない,責任がある,関連がある
skeptical,懐疑的な,熱心な,確信している,盲目的な
turbulent,荒れ狂う,些細な,退屈な,一時的な
utilize,利用する,変化する,嫌う,振る
vague,曖昧な,鋭い,退屈な,正確な
withstand,耐える,撤退する,蓄える,抗議する
yearning,切望,叫び,あくび,降参
zenith,頂点,底,始まり,終わり
aesthetic,美的な,運動の,抽象的な,芸術的な
benevolent,慈悲深い,悪意のある,曖昧な,相反する
compensate,補償する,競う,構成する,完了する
distort,歪める,破壊する,描写する,配達する
emphasize,強調する,奨励する,従う,許す
feasibility,実現可能性,柔軟性,脆弱性,忠誠心
grim,厳しい,偉大な,緑の,寛大な
innovative,革新的な,伝統的な,保守的な,受動的な
judicious,思慮分別のある,嫉妬深い,寛大な,勇敢な
kindle,火をつける,殺す,知る,蹴る
logic,論理,感情,知識,秘密
morale,士気,道徳,記憶,夢
nurture,育てる,無視する,破壊する,否定する
opaque,不透明な,透明な,明確な,曖昧な
paradox,逆説,平行,楽園,寄生虫
quota,割り当て,質問,引用,質
robust,強健な,脆弱な,些細な,退屈な
superficial,表面的な,自発的な,疑わしい,連続的な
transcend,超越する,翻訳する,輸送する,整理する
undertake,引き受ける,署名する,推測する,団結する
vibrant,活気のある,脆弱な,貴重な,傲慢な
wharf,埠頭,道路,建物,季節
yield,屈服する,反抗する,参加する,支配する
zealot,狂信者,専門家,犠牲者,犯人
abundant,豊富な,乏しい,貴重な,危険な
bizarre,奇妙な,典型的な,穏やかな,勇敢な
concise,簡潔な,包括的な,論理的な,肯定的な
dormant,休眠状態の,活発な,複雑な,活発な
exotic,外来の,典型的な,穏やかな,勇敢な
abstract,抽象的な,具体的な,複雑な,明確な
ambiguous,曖昧な,意欲的な,慈悲深い,相反する
burden,負担,利益,知識,運命
catastrophic,壊滅的な,魅力的な,伝統的な,心理的な
coherent,一貫した,複雑な,協力的な,秘密の
denounce,公然と非難する,賞賛する,発表する,否定する
elaborate,精巧な,単純な,古臭い,粗末な
fluctuate,変動する,促進する,魅了する,捏造する
genuine,本物の,寛大な,誠実な,深刻な
hypothetical,仮説に基づいた,結論の,衝撃的な,効率的な
inevitably,必然的に,信じられないほど,快適に,価値なく
legitimate,正当な,些細な,文字通りの,寛大な
manifest,明らかにする,維持する,監視する,操る
notion,概念,秘密,夢,嘘
objective,客観的な,主観的な,肯定的な,否定的な
paradox,逆説,平行,楽園,寄生虫
qualitative,質的な,量的な,重い,長い
reinforce,強化する,減少させる,許す,混ぜる
skeptical,懐疑的な,熱心な,確信している,盲目的な
tangible,具体的な,些細な,退屈な,一時的な
undertake,引き受ける,署名する,推測する,団結する
vague,曖昧な,鋭い,退屈な,正確な
vulnerable,脆弱な,貴重な,多才な,活発な
widespread,普及した,孤立した,厳しい,謙虚な
yield,産出する,無視する,震える,避ける
abundant,豊富な,乏しい,貴重な,危険な
bias,偏見,事実,証拠,疑問
compensate,補償する,競う,構成する,完了する
deficit,赤字,効率,明確さ,繊細さ
emphasize,強調する,奨励する,従う,許す
finite,有限の,永遠の,貴重な,慎重な
gratitude,感謝,欲望,幸福,遺産
hierarchy,階層制,独立,競争,苦情
incentive,動機,困難,結論,責任
judicial,司法の,組織的な,出版的な,満足させる
kit,道具一式,建物,植物,自然
legislative,立法の,商業的な,伝統的な,心理的な
moderate,適度な,極端な,最高の,最低の
noble,高貴な,否定的な,交渉可能な,無視できる
obscure,無名の,頑固な,明白な,執拗な
prevail,普及する,脅迫する,震える,投げる
quantitative,量的な,質的な,重い,長い
radical,根本的な,伝統的な,穏やかな,些細な
substitute,代用品,提出物,疑問,登録
terminal,終着の,永遠の,現代の,魅力的な
utopia,理想郷,現実,距離,影響
vivid,鮮明な,曖昧な,退屈な,正確な
warrant,正当な理由,警告,武器,知恵
xenophobia,外国人嫌悪,閉所恐怖症,高所恐怖症,暗闇恐怖症
yielding,柔軟な,頑固な,脆弱な,傲慢な
zeal,熱意,絶望,恐怖,軽蔑
accommodate,収容する,蓄積する,達成する,告発する
arbitrary,恣意的な,伝統的な,基礎的な,効率的な
bulk,大部分,欠点,距離,影響
commodity,商品,秘密,夢,嘘
devise,考案する,繰り返す,分離する,無視する
eliminate,排除する,推定する,照らす,誇張する
facilitate,促進する,捏造する,魅了する,変動する
gross,総計の,繊細な,原始的な,適切な
highlight,強調する,隠す,止める,無視する
infrastructure,社会基盤,経済,娯楽,伝統
justify,正当化する,組織する,出版する,満足させる
knowledgeable,知識の豊富な,誠実な,謝罪の,信頼の
lucrative,利益の上がる,贅沢な,幸運な,論理的な
merchant,商人,初心者,犯人,犠牲者
negotiate,交渉する,否定する,航海する,命名する
outcome,結果,原因,過程,始まり
profound,深い,浅い,狭い,広い
quote,引用する,質問する,終了する,抗議する
retain,保持する,忘れる,隠す,探す
statistics,統計,歴史,数学,地理
transform,変える,生産する,比較する,解決する
utilize,利用する,変化する,嫌う,振る
validity,妥当性,類似性,安全性,可能性
welfare,福祉,運命,冒険,利益
yield,屈服する,反抗する,参加する,支配する
abandon,捨てる,雇う,組み立てる,調整する
barrier,障壁,道路,壁,窓
comprehensive,包括的な,論理的な,感情的な,肯定的な
domestic,国内の,世界的な,都市の,宇宙の
explicit,明確な,曖昧な,退屈な,正確な
framework,枠組み,建物,植物,自然
guarantee,保証する,卒業する,収穫する,発生する
hypothesis,仮説,結論,衝撃,効率
illustrate,説明する,祝う,翻訳する,誇張する
journal,日誌,競争,衝突,休息
layer,層,道路,壁,窓
ministry,省,企業,教育,宗教
network,網状組織,道具,建物,植物
overall,全体的な,個人的な,私的な,孤立した
perspective,視点,解決,理由,目的
rational,合理的な,感情的な,肯定的な,否定的な
scope,範囲,程度,速度,角度
theme,主題,会議,試験,葬式
underlying,根本的な,表面的な,現代の,魅力的な
via,～経由で,～のために,～の代わりに,～の反対に
whereas,～である一方で,～の後に,～の前に,～のように
yield,産出量,欠点,距離,影響
acknowledge,認める,拒絶する,隠す,予測する
brief,簡潔な,永遠の,貴重な,慎重な
crucial,決定的な,些細な,曖昧な,危険な
dismiss,解雇する,雇用する,昇進させる,訓練する
equivalent,同等の,異なる,特有の,以前の
fundamental,根本的な,表面的な,一時的な,些細な
grant,与える,奪う,禁止する,期待する
hypothesis,仮説,結論,衝撃,効率
initiative,主導権,困難,結論,責任
joint,共同の,個別の,私的な,孤立した
keen,鋭い,鈍い,弱い,醜い
liberal,自由主義の,保守的な,厳格な,偏った
motive,動機,事実,証拠,疑問
neutral,中立の,偏った,激しい,穏やかな
output,出力,入力,消費,貯蔵
precise,正確な,適切な,繊細な,原始的な
quote,引用する,質問する,終了する,抗議する
radical,根本的な,伝統的な,穏やかな,些細な
secure,確保する,失う,投げる,壊す
terminal,終着の,永遠の,現代の,魅力的な
undergo,経験する,署名する,推測する,団結する
valid,妥当な,類似した,安全な,可能な
welfare,福祉,運命,冒険,利益
yield,屈服する,反抗する,参加する,支配する
accommodate,収容する,蓄積する,達成する,告発する
bias,偏見,事実,証拠,疑問
coherent,一貫した,複雑な,協力的な,秘密の
derive,引き出す,破壊する,描写する,配達する
exceed,超える,下回る,止まる,戻る
facilitate,促進する,捏造する,魅了する,変動する
generate,生み出す,無視する,破壊する,否定する
highlight,強調する,隠す,止める,無視する
incentive,動機,困難,結論,責任
justify,正当化する,組織する,出版する,満足させる
kit,道具一式,建物,植物,自然
layer,層,道路,壁,窓
modify,修正する,維持する,監視する,操る
notion,概念,秘密,夢,嘘
objective,客観的な,主観的な,肯定的な,否定的な
precise,正確な,適切な,繊細な,原始的な
qualitative,質的な,量的な,重い,長い
reinforce,強化する,減少させる,許す,混ぜる
sustainable,持続可能な,一時的な,壊れやすい,奇妙な
transition,移行,停止,開始,終了
utilize,利用する,変化する,嫌う,振る
vary,変化する,維持する,停止する,戻る
widespread,普及した,孤立した,厳しい,謙虚な
yield,産出する,無視する,震える,避ける
advocate,提唱する,避ける,依存する,軽視する
bulk,大部分,欠点,距離,影響
coincide,同時に起こる,協力する,衝突する,比較する
distort,歪める,破壊する,描写する,配達する
expand,拡大する,減少する,停止する,戻る
fluctuate,変動する,促進する,魅了する,捏造する
genuine,本物の,寛大な,誠実な,深刻な
hazardous,有害な,謙虚な,壊れやすい,奇妙な
implement,実行する,暗示する,課す,改善する
journal,日誌,競争,衝突,休息
knowledgeable,知識の豊富な,誠実な,謝罪の,信頼の
lucrative,利益の上がる,贅沢な,幸運な,論理的な
maintain,維持する,獲得する,驚かせる,変換する
norm,規範,秘密,夢,嘘
optimal,最適な,最悪の,些細な,極端な
primary,主要な,些細な,曖昧な,危険な
quantitative,量的な,質的な,重い,長い
reject,拒絶する,受け入れる,投げる,壊す
statistics,統計,歴史,数学,地理
transform,変える,生産する,比較する,解決する
ultimate,究極の,以前の,独特な,普遍的な
virtual,事実上の,物理的な,永続的な,魅力的な
whereas,～である一方で,～の後に,～の前に,～のように
yield,産出量,欠点,距離,影響
abandon,捨てる,雇う,組み立てる,調整する
bond,絆,敵意,距離,影響
currency,通貨,法律,宗教,歴史
diverse,多様な,類似した,退屈な,一般的な
execute,実行する,延期する,衰退する,配達する
flexible,柔軟な,貴重な,有害な,絶望的な
grant,与える,奪う,禁止する,期待する
heritage,遺産,幸福,知識,運命
internal,内部の,外部の,表面的な,現代の
judgment,判断,招待,結合,命令
keen,熱心な,怠惰な,短気な,傲慢な
label,ラベル,道具,建物,植物
margin,余白,核心,頂点,底
network,網状組織,道具,建物,植物
output,生産高,欠点,距離,影響
parallel,平行な,垂直な,斜めの,逆の
quote,引用文,質問,終了,抗議
retain,保持する,忘れる,隠す,探す
status,地位,解決,理由,目的
target,目標,過去,原因,過程
uniform,均一な,多様な,複雑な,奇妙な
vehicle,乗り物,建物,植物,自然
welfare,福祉,運命,冒険,利益
xenophobia,外国人嫌悪,閉所恐怖症,高所恐怖症,暗闇恐怖症
yearn,切望する,叫ぶ,あくびする,降参する
zone,地帯,建物,道路,季節
abstract,要約,拡張,混乱,破壊
accumulate,蓄積する,消去する,分散する,誇張する
adhere,固執する,回避する,軽視する,混乱させる
allocate,割り当てる,収集する,拒絶する,混ぜる
amend,修正する,破壊する,維持する,悪化させる
analyze,分析する,統合する,無視する,構築する
apparent,明白な,隠れた,些細な,複雑な
appendix,付録,序文,本文,結論
arbitrary,恣意的な,計画的な,伝統的な,効率的な
aspect,側面,全体,核心,境界
assembly,組み立て,分解,破壊,放置
assess,評価する,無視する,推測する,否定する
assign,割り当てる,奪う,拒絶する,混合する
assume,仮定する,証明する,否定する,観察する
assure,保証する,疑う,警告する,否定する
attain,到達する,諦める,避ける,失敗する
attribute,特性,欠陥,偶然,運命
automate,自動化する,手動で行う,停止する,複雑にする
behalf,～に代わって,～に反対して,～を除いて,～に加えて
bulk,大部分,欠片,境界,外部
cease,中止する,開始する,継続する,拡大する
chart,図表,文章,噂,記憶
chemical,化学の,物理の,生物の,歴史の
cite,引用する,隠す,否定する,忘れる
civil,市民の,軍事の,宗教の,伝統的な
clarify,解明する,混乱させる,隠す,維持する
clause,条項,文脈,結論,序論
code,規範,混乱,偶然,自由
coherent,筋の通った,矛盾した,複雑な,曖昧な
coincide,同時に起こる,遅れる,衝突する,比較する
collapse,崩壊する,建設する,成功する,維持する
colleague,同僚,敵,上司,部下
commence,開始する,終了する,継続する,延期する
commission,委員会,企業,組合,議会
commit,献身する,無視する,拒絶する,避ける
commodity,商品,廃棄物,資源,サービス
compatible,互換性のある,矛盾する,孤立した,複雑な
compensate,補償する,奪う,無視する,攻撃する
compile,編集する,分解する,破壊する,放置する
complement,補完する,妨害する,減少させる,否定する
complex,複雑な,単純な,明確な,些細な
component,構成要素,全体,外部,境界
compound,化合物,単体,液体,気体
comprise,構成する,除外する,破壊する,否定する
compute,計算する,想像する,記憶する,忘れる
conceive,構想する,忘れる,破壊する,模倣する
concentrate,濃縮する,希釈する,分散する,冷却する
concept,概念,事実,経験,物質
conclude,結論づける,開始する,躊躇する,疑う
concurrent,同時の,連続した,以前の,未来の
conduct,実施する,中止する,拒絶する,避ける
confer,授与する,奪う,拒絶する,隠す
confine,制限する,解放する,拡大する,普及させる
confirm,確認する,否定する,疑う,忘れる
conflict,衝突,調和,協力,合意
conform,従う,反抗する,無視する,変更する
consent,同意,拒否,疑念,混乱
consequence,帰結,原因,過程,始まり
considerable,かなりの,わずかな,些細な,無視できる
consist,成り立つ,崩壊する,排除する,否定する
constant,一定の,不安定な,一時的な,急激な
constitute,構成する,分解する,破壊する,否定する
constrain,強制する,解放する,許可する,奨励する
construct,建設する,破壊する,放置する,無視する
consult,相談する,命令する,無視する,決定する
consume,消費する,生産する,保存する,供給する
contact,接触,分離,孤立,距離
contemporary,現代の,古代の,未来の,永遠の
context,文脈,孤立,表面,物理
contract,契約,自由,紛争,偶然
contradict,矛盾する,一致する,支持する,証明する
contrary,正反対の,同様の,補足的な,肯定的な
contrast,対照,類似,一致,統合
contribute,貢献する,妨害する,奪う,無視する
controversy,論争,合意,平和,沈黙
convene,招集する,解散する,延期する,拒絶する
converse,逆の,同様の,直接の,正常な
convert,転換する,維持する,停止する,戻る
convince,納得させる,疑わせる,混乱させる,怒らせる
cooperate,協力する,対立する,競争する,無視する
coordinate,調整する,混乱させる,拒絶する,分離する
core,核心,表面,境界,外部
corporate,企業の,個人の,私的な,地方の
correspond,一致する,矛盾する,異なる,逸脱する
council,会議,競争,娯楽,伝統
couple,ペア,単体,多数,全体
create,創造する,破壊する,模倣する,無視する
credit,信用,疑念,負債,失敗
criteria,基準,偶然,例外,混沌
crucial,決定的な,些細な,曖昧な,危険な
culture,文化,自然,技術,科学
currency,通貨,法律,宗教,歴史
cycle,周期,停止,直線,終わり
data,資料,想像,意見,噂
debate,討論,同意,沈黙,独白
decade,10年間,1年間,100年間,1000年間
decline,衰退する,繁栄する,維持する,増加する
deduce,推論する,想像する,否定する,忘れる
define,定義する,曖昧にする,混乱させる,無視する
definite,明確な,不確かな,些細な,複雑な