question,all_answers,dummy_pool
follow,～の後に続く、～に従う,"発達する、～を発達させる, ～に着く、～に達する, ～を無視する"
consider,～を考慮する,"～を供給する、与える, ～を許可する, ～を忘れる"
increase,増える、～を増やす,"続く、～を続ける, ～を強制する, ～を避ける"
expect,～を予期する,"～を含む、含める, ～を申し出る, ～を無視する"
decide,～することを決意する,"ままでいる, ～を悟る, ～を忘れる"
develop,発達する、～を発達させる,"～に着く、～に達する, ～と提案する、～をほのめかす, ～を避ける"
provide,～を供給する、与える,"～を許可する, ～を必要とする, ～を無視する"
continue,続く、～を続ける,"～を強制する, 心配する, ～を忘れる"
include,～を含む、含める,"～を申し出る, ～かと疑問に思う, ～を避ける"
remain,ままでいる,"～を悟る, ～を要する, ～を無視する"
reach,～に着く、～に達する,"～と提案する、～をほのめかす, ～する傾向がある、～しがちである, ～を忘れる"
allow,～を許可する,"～を必要とする, ～に依存する、～しだいで決まる, ～を避ける"
force,～を強制する,"心配する, ～を分け合う、共有する, ～を無視する"
offer,～を申し出る,"～かと疑問に思う, ～を要求する, ～を忘れる"
realize,～を悟る,"～を要する, ～を支持する, ～を避ける"
suggest,～と提案する、～をほのめかす,"～する傾向がある、～しがちである, ～を雇う, ～を無視する"
require,～を必要とする,"～に依存する、～しだいで決まる, AをBだと思う、みなす, ～を忘れる"
worry,心配する,"～を分け合う、共有する, AがBに基づいている, ～を避ける"
wonder,～かと疑問に思う,"～を要求する, ～を向上させる, ～を無視する"
cost,～を要する,"～を支持する, ～を認める, ～を忘れる"
tend,～する傾向がある、～しがちである,"～を雇う, ～に気づく, ～を避ける"
depend,～に依存する、～しだいで決まる,"AをBだと思う、みなす, ～だと思う, ～を無視する"
share,～を分け合う、共有する,"AがBに基づいている, ～を上げる、～を育てる, ～を忘れる"
demand,～を要求する,"～を向上させる, ～をより好む, ～を避ける"
support,～を支持する,"～を認める, ～を励ます, ～を無視する"
hire,～を雇う,"～に気づく, ～を経験する、受ける、苦しむ, ～を忘れる"
regard,AをBだと思う、みなす,"～だと思う, ～を描写する、～の特徴を説明する, ～を避ける"
base,AがBに基づいている,"～を上げる、～を育てる, ～をさまたげる, ～を無視する"
improve,～を向上させる,"～をより好む, ～を減らす, ～を忘れる"
recognize,～を認める,"～を励ます, ～を誤解する、まちがえる, ～を避ける"
notice,～に気づく,"～を経験する、受ける、苦しむ, ～の準備をする, ～を無視する"
suppose,～だと思う,"～を描写する、～の特徴を説明する, はげます, ～を忘れる"
raise,～を上げる、～を育てる,"～をさまたげる, ～だとわかる, ～を避ける"
prefer,～をより好む,"～を減らす, ～をあつかう, ～を無視する"
cheer,～を励ます,"～を誤解する、まちがえる, ～を設立する、創立する, ～を忘れる"
suffer,～を経験する、受ける、苦しむ,"～の準備をする, 関係がある, ～を避ける"
describe,～を描写する、～の特徴を説明する,"はげます, ～を比較する、～をたとえる, ～を無視する"
prevent,～をさまたげる,"～だとわかる, ～を広げる；広がる, ～を忘れる"
reduce,～を減らす,"～をあつかう, ～を指示する, ～を避ける"
mistake,～を誤解する、まちがえる,"～を設立する、創立する, ～を供給する, ～を無視する"
prepare,～の準備をする,"関係がある, ～を得る, ～を忘れる"
encourage,はげます,"～を比較する、～をたとえる, ～を破壊する, ～を避ける"
prove,～だとわかる,"～を広げる；広がる, 当てはまる、申し込む, ～を無視する"
treat,～をあつかう,"～を指示する, ～を求める, ～を忘れる"
establish,～を設立する、創立する,"～を供給する, ～を捜す, ～を避ける"
relate,関係がある,"～を得る, ～と主張する, ～を無視する"
compare,～を比較する、～をたとえる,"～を破壊する, ～を引っぱる, ～を忘れる"
spread,～を広げる；広がる,"当てはまる、申し込む, ～を断る, ～を避ける"
refer,～を指示する,"～を求める, ～に返答する, ～を無視する"
supply,～を供給する,"～を捜す, ～について述べる, ～を忘れる"
gain,～を得る,"～と主張する, ～を判断する, ～を避ける"
destroy,～を破壊する,"～を引っぱる, ～に接近する；～に取り組む；方法, ～を無視する"
apply,当てはまる、申し込む,"～を断る, ～を認める, ～を忘れる"
seek,～を求める,"～に返答する, ～を反映する、～を反射する, ～を避ける"
search,～を捜す,"～について述べる, ～を行う、～を遂行する, ～を無視する"
claim,～と主張する,"～を判断する, ～をうんざりさせる, ～を忘れる"
draw,～を引っぱる,"～に接近する；～に取り組む；方法, 生き残る, ～を避ける"
refuse,～を断る,"～を認める, ～を表す, ～を無視する"
respond,～に返答する,"～を反映する、～を反射する, ～と主張する, ～を忘れる"
mention,～について述べる,"～を行う、～を遂行する, ～を認める、～を与える, ～を避ける"
judge,～を判断する,"～をうんざりさせる, ～を指し示す, ～を無視する"
approach,～に接近する；～に取り組む；方法,"生き残る, 所属している, ～を忘れる"
admit,～を認める,"～を表す, ～を習得する, ～を避ける"
reflect,～を反映する、～を反射する,"～と主張する, 返事をする, ～を無視する"
perform,～を行う、～を遂行する,"～を認める、～を与える, ～にエサをやる, ～を忘れる"
bore,～をうんざりさせる,"～を指し示す, 逃げる, ～を避ける"
survive,生き残る,"所属している, ～に取って代わる、～を取り替える, ～を無視する"
represent,～を表す,"～を習得する, ～を明らかにする, ～を忘れる"
argue,～と主張する,"返事をする, ～を取り囲む, ～を避ける"
grant,～を認める、～を与える,"～にエサをやる, ～に合う, ～を無視する"
indicate,～を指し示す,"逃げる, ～を推定する, ～を忘れる"
belong,所属している,"～に取って代わる、～を取り替える, ～をねらう, ～を避ける"
acquire,～を習得する,"～を明らかにする, ～をもうける、かせぐ, ～を無視する"
reply,返事をする,"～を取り囲む, 衰退する、低下する、～を辞退する, ～を忘れる"
feed,～にエサをやる,"～に合う, ～をする余裕がある, ～を避ける"
escape,逃げる,"～を推定する, ～を当惑させる, ～を無視する"
replace,～に取って代わる、～を取り替える,"～をねらう, ～を卒業する, ～を忘れる"
reveal,～を明らかにする,"～をもうける、かせぐ, 変わる、さまざまである, ～を避ける"
surround,～を取り囲む,"衰退する、低下する、～を辞退する, ～を移す、取り去る, ～を無視する"
suit,～に合う,"～をする余裕がある, ～と主張する、言い張る, ～を忘れる"
estimate,～を推定する,"～を当惑させる, ～を調査する, ～を避ける"
aim,～をねらう,"～を卒業する, ＡにＢを思い出させる, ～を無視する"
earn,～をもうける、かせぐ,"変わる、さまざまである, ～に貢献する、～の一因となる、AをBに寄付する, ～を忘れる"
decline,衰退する、低下する、～を辞退する,"～を移す、取り去る, ～に警告する, ～を避ける"
afford,～をする余裕がある,"～と主張する、言い張る, ～をつなぐ, ～を無視する"
confuse,～を当惑させる,"～を調査する, ～に匹敵する、～に調和する, ～を忘れる"
graduate,～を卒業する,"ＡにＢを思い出させる, 焦点を合わせる, ～を避ける"
vary,変わる、さまざまである,"～に貢献する、～の一因となる、AをBに寄付する, ～を断る, ～を無視する"
remove,～を移す、取り去る,"～に警告する, ～を納得させる、確信させる, ～を忘れる"
insist,～と主張する、言い張る,"～をつなぐ, AをBに関連づける、AからBを連想する, ～を避ける"
examine,～を調査する,"～に匹敵する、～に調和する, 急いで行く, ～を無視する"
remind,ＡにＢを思い出させる,"焦点を合わせる, ～を強調する, ～を忘れる"
contribute,～に貢献する、～の一因となる、AをBに寄付する,"～を断る, ～を引きつける, ～を避ける"
warn,～に警告する,"～を納得させる、確信させる, Aに頼る, ～を無視する"
connect,～をつなぐ,"AをBに関連づける、AからBを連想する, ～を後悔する, ～を忘れる"
match,～に匹敵する、～に調和する,"急いで行く, ～を採用する, ～を避ける"
focus,焦点を合わせる,"～を強調する, ～を振る, ～を無視する"
reject,～を断る,"～を引きつける, ～を傷つける, ～を忘れる"
convince,～を納得させる、確信させる,"Aに頼る, 作動する、～を操作する、手術する, ～を避ける"
associate,AをBに関連づける、AからBを連想する,"～を後悔する, ～を広げる、延長する, ～を無視する"
rush,急いで行く,"～を採用する, ～を非難する、～のせいにする, ～を忘れる"
stress,～を強調する,"～を振る, Aで構成されている, ～を避ける"
attract,～を引きつける,"～を傷つける, ～を説得する, ～を無視する"
rely,Aに頼る,"作動する、～を操作する、手術する, ～に感心する, ～を忘れる"
regret,～を後悔する,"～を広げる、延長する, ～を失望させる, ～を避ける"
adopt,～を採用する,"～を非難する、～のせいにする, 拡大する, ～を無視する"
shake,～を振る,"Aで構成されている, ～を保護する, ～を忘れる"
hurt,～を傷つける,"～を説得する, 苦闘する、もがく, ～を避ける"
operate,作動する、～を操作する、手術する,"～に感心する, ～の手はずを整える、～を配列する, ～を無視する"
extend,～を広げる、延長する,"～を失望させる, ～を妨げる, ～を忘れる"
blame,～を非難する、～のせいにする,"拡大する, ～を雇う、～を用いる, ～を避ける"
consist,Aで構成されている,"～を保護する, Aに従事する、Aを行う, ～を無視する"
persuade,～を説得する,"苦闘する、もがく, ～を捨てる, ～を忘れる"
admire,～に感心する,"～の手はずを整える、～を配列する, ～を展示する、～を表す, ～を避ける"
disappoint,～を失望させる,"～を妨げる, ～に偶然出会う, ～を無視する"
expand,拡大する,"～を雇う、～を用いる, ～を楽しませる, ～を忘れる"
preserve,～を保護する,"Aに従事する、Aを行う, ～に面倒をかける、困らせる, ～を避ける"
struggle,苦闘する、もがく,"～を捨てる, 集中する, ～を無視する"
arrange,～の手はずを整える、～を配列する,"～を展示する、～を表す, ～を適応させる、適応する, ～を忘れる"
disturb,～を妨げる,"～に偶然出会う, ～を当惑させる, ～を避ける"
employ,～を雇う、～を用いる,"～を楽しませる, Aに訴える、～を引きつける, ～を無視する"
engage,Aに従事する、Aを行う,"～に面倒をかける、困らせる, ～を結合させる, ～を忘れる"
abandon,～を捨てる,"集中する, ～を遅らせる, ～を避ける"
display,～を展示する、～を表す,"～を適応させる、適応する, ～を修理する, ～を無視する"
encounter,～に偶然出会う,"～を当惑させる, ～を夢中にさせる, ～を忘れる"
amuse,～を楽しませる,"Aに訴える、～を引きつける, ～を許す, ～を避ける"
bother,～に面倒をかける、困らせる,"～を結合させる, ～を輸入する, ～を無視する"
concentrate,集中する,"～を遅らせる, 述べる, ～を忘れる"
adapt,～を適応させる、適応する,"～を修理する, ～を予約する、～を取っておく, ～を避ける"
puzzle,～を当惑させる,"～を夢中にさせる, ～を驚嘆させる, ～を無視する"
appeal,Aに訴える、～を引きつける,"～を許す, ～をおびえさせる, ～を忘れる"
combine,～を結合させる,"～を輸入する, ～を解放する、～を発表する, ～を避ける"
delay,～を遅らせる,"述べる, ～を賃借りする, ～を無視する"
repair,～を修理する,"～を予約する、～を取っておく, Aから回復する, ～を忘れる"
fascinate,～を夢中にさせる,"～を驚嘆させる, ～ではないかと思う、～を疑う, ～を避ける"
Pardon,～を許す,"～をおびえさせる, ～を配達する、渡す、～をする, ～を無視する"
import,～を輸入する,"～を解放する、～を発表する, ～の正体をつきとめる、Aと共感する, ～を忘れる"
remark,述べる,"～を賃借りする, 位置する, ～を避ける"
reserve,～を予約する、～を取っておく,"Aから回復する, ～を製造する, ～を無視する"
amaze,～を驚嘆させる,"～ではないかと思う、～を疑う, ～を占める, ～を忘れる"
frighten,～をおびえさせる,"～を配達する、渡す、～をする, ～を所有している, ～を避ける"
release,～を解放する、～を発表する,"～の正体をつきとめる、Aと共感する, ＡをＢにさらす, ～を無視する"
rent,～を賃借りする,"位置する, ～を翻訳する, ～を忘れる"
recover,Aから回復する,"～を製造する, ～を治療する, ～を避ける"
suspect,～ではないかと思う、～を疑う,"～を占める, ～を知覚する, ～を無視する"
deliver,～を配達する、渡す、～をする,"～を所有している, ～に慣れる、調節して合わせる, ～を忘れる"
identify,～の正体をつきとめる、Aと共感する,"ＡをＢにさらす, ～をぎょっとさせる、おびえさせる, ～を避ける"
locate,位置する,"～を翻訳する, ～を助ける、～を手伝う, ～を無視する"
manufacture,～を製造する,"～を治療する, 凍りつく, ～を忘れる"
occupy,～を占める,"～を知覚する, ～を台無しにする, ～を避ける"
own,～を所有している,"～に慣れる、調節して合わせる, ～を変える, ～を無視する"
expose,ＡをＢにさらす,"～をぎょっとさせる、おびえさせる, ～を困惑させる、～に恥ずかしい思いをさせる, ～を忘れる"
translate,～を翻訳する,"～を助ける、～を手伝う, 賛成する；～を承認する, ～を避ける"
cure,～を治療する,"凍りつく, ～の重さがある、～を比較検討する、よく考える, ～を無視する"
perceive,～を知覚する,"～を台無しにする, ～を広げる, ～を忘れる"
adjust,～に慣れる、調節して合わせる,"～を変える, Aに参加する, ～を避ける"
alarm,～をぎょっとさせる、おびえさせる,"～を困惑させる、～に恥ずかしい思いをさせる, ～を展示する, ～を無視する"
assist,～を助ける、～を手伝う,"賛成する；～を承認する, AのことはBのおかげだ, ～を忘れる"
freeze,凍りつく,"～の重さがある、～を比較検討する、よく考える, ～を祝う, ～を避ける"
spoil,～を台無しにする,"～を広げる, ～を装飾する, ～を無視する"
shift,～を変える,"Aに参加する, ～を許す, ～を忘れる"
embarrass,～を困惑させる、～に恥ずかしい思いをさせる,"～を展示する, (be seated)座っている, ～を避ける"
approve,賛成する；～を承認する,"AのことはBのおかげだ, ～を傷つける, ～を無視する"
weigh,～の重さがある、～を比較検討する、よく考える,"～を祝う, ～を縫う, ～を忘れる"
stretch,～を広げる,"～を装飾する, 結果, ～を避ける"
participate,Aに参加する,"～を許す, 特徴, ～を無視する"
exhibit,～を展示する,"(be seated)座っている, 社会、協会、団体, ～を忘れる"
owe,AのことはBのおかげだ,"～を傷つける, 車輪、ハンドル, ～を避ける"
celebrate,～を祝う,"～を縫う, 価値, ～を無視する"
decorate,～を装飾する,"結果, 効果、影響、結果, ～を忘れる"
forgive,～を許す,"特徴, 個人, ～を避ける"
seat,(be seated)座っている,"社会、協会、団体, 影響, ～を無視する"
injure,～を傷つける,"車輪、ハンドル, 謝礼、料金, ～を忘れる"
sew,～を縫う,"価値, 割合、速度, ～を避ける"
result,結果,"効果、影響、結果, 印、兆候, ～を無視する"
feature,特徴,"個人, 公共事業、業務, ～を忘れる"
society,社会、協会、団体,"影響, 前進、進歩, ～を避ける"
wheel,車輪、ハンドル,"謝礼、料金, 笑い, ～を無視する"
value,価値,"割合、速度, 物質, ～を忘れる"
effect,効果、影響、結果,"印、兆候, 工業, ～を避ける"
individual,個人,"公共事業、業務, 試み, ～を無視する"
influence,影響,"前進、進歩, 貿易, ～を忘れる"
fee,謝礼、料金,"笑い, 進歩、前進, ～を避ける"
rate,割合、速度,"物質, 言い訳, ～を無視する"
sign,印、兆候,"工業, 習慣、税関, ～を忘れる"
service,公共事業、業務,"試み, 一節、経過、通行, ～を避ける"
advance,前進、進歩,"貿易, 経済, ～を無視する"
laughter,笑い,"進歩、前進, 小道、足跡, ～を忘れる"
material,物質,"言い訳, 交通機関、輸送, ～を避ける"
industry,工業,"習慣、税関, 役人, ～を無視する"
attempt,試み,"一節、経過、通行, 見ること、光景、視力, ～を忘れる"
trade,貿易,"経済, 味、好み, ～を避ける"
progress,進歩、前進,"小道、足跡, 範囲, ～を無視する"
excuse,言い訳,"交通機関、輸送, 約束、予約, ～を忘れる"
custom,習慣、税関,"役人, 患者、忍耐強い, ～を避ける"
passage,一節、経過、通行,"見ること、光景、視力, 計画, ～を無視する"
economy,経済,"味、好み, 好意, ～を忘れる"
track,小道、足跡,"範囲, 外見、様子、出現, ～を避ける"
transportation,交通機関、輸送,"約束、予約, 危険, ～を無視する"
official,役人,"患者、忍耐強い, 利益, ～を忘れる"
sight,見ること、光景、視力,"計画, 住民, ～を避ける"
taste,味、好み,"好意, 親族、親戚, ～を無視する"
range,範囲,"外見、様子、出現, 地域, ～を忘れる"
appointment,約束、予約,"危険, 特徴, ～を避ける"
patient,患者、忍耐強い,"利益, 苦痛, ～を無視する"
project,計画,"住民, 双子の一方、双生児, ～を忘れる"
favor,好意,"親族、親戚, 場合、機会, ～を避ける"
appearance,外見、様子、出現,"地域, 原理、原則, ～を無視する"
risk,危険,"特徴, 部門、学科, ～を忘れる"
benefit,利益,"苦痛, 義務、関税, ～を避ける"
resident,住民,"双子の一方、双生児, 場面、現場, ～を無視する"
relative,親族、親戚,"場合、機会, 渋滞, ～を忘れる"
region,地域,"原理、原則, 精神, ～を避ける"
characteristic,特徴,"部門、学科, 手段, ～を無視する"
pain,苦痛,"義務、関税, 一般大衆、多くの, ～を忘れる"
twin,双子の一方、双生児,"場面、現場, 聴衆、観客, ～を避ける"
occasion,場合、機会,"渋滞, 要素、元素, ～を無視する"
principle,原理、原則,"精神, 気候, ～を忘れる"
department,部門、学科,"手段, 革命, ～を避ける"
duty,義務、関税,"一般大衆、多くの, 4分の1, ～を無視する"
scene,場面、現場,"聴衆、観客, 家具, ～を忘れる"
jam,渋滞,"要素、元素, 脳, ～を避ける"
spirit,精神,"気候, 大気、雰囲気, ～を無視する"
medium,手段,"革命, 財産, ～を忘れる"
mass,一般大衆、多くの,"4分の1, 報酬, ～を避ける"
audience,聴衆、観客,"家具, 安全, ～を無視する"
element,要素、元素,"脳, 大喜び, ～を忘れる"
climate,気候,"大気、雰囲気, 砂漠, ～を避ける"
revolution,革命,"財産, 背景、生い立ち、経歴, ～を無視する"
quarter,4分の1,"報酬, 傾向, ～を忘れる"
furniture,家具,"安全, 投票, ～を避ける"
brain,脳,"大喜び, 影響、衝撃, ～を無視する"
atmosphere,大気、雰囲気,"砂漠, 機関、制度, ～を忘れる"
property,財産,"背景、生い立ち、経歴, 交流, ～を避ける"
reward,報酬,"傾向, 代わりのもの, ～を無視する"
security,安全,"投票, 害, ～を忘れる"
delight,大喜び,"影響、衝撃, 機関、代理店, ～を避ける"
desert,砂漠,"機関、制度, 能力, ～を無視する"
background,背景、生い立ち、経歴,"交流, 大臣, ～を忘れる"
trend,傾向,"代わりのもの, ボランティア, ～を避ける"
vote,投票,"害, 利用する権利, ～を無視する"
impact,影響、衝撃,"機関、代理店, 量, ～を忘れる"
institution,機関、制度,"能力, 枝、支店、支局、部門、分野, ～を避ける"
interaction,交流,"大臣, 共通の、普通の, ～を無視する"
alternative,代わりのもの,"ボランティア, 荒い、大雑把な, ～を忘れる"
harm,害,"利用する権利, ありそうな、～する可能性が高い, ～を避ける"
agency,機関、代理店,"量, 深刻な, ～を無視する"
capacity,能力,"枝、支店、支局、部門、分野, ある特定の、特有の, ～を忘れる"
minister,大臣,"共通の、普通の, 手に入る、利用できる, ～を避ける"
volunteer,ボランティア,"荒い、大雑把な, 二言語使用の, ～を無視する"
access,利用する権利,"ありそうな、～する可能性が高い, 用意ができた, ～を忘れる"
quantity,量,"深刻な, 正しい, ～を避ける"
branch,枝、支店、支局、部門、分野,"ある特定の、特有の, 熟知している、くわしい, ～を無視する"
common,共通の、普通の,"手に入る、利用できる, 身体の、肉体の, ～を忘れる"
rough,荒い、大雑把な,"二言語使用の, ～の価値がある, ～を避ける"
likely,ありそうな、～する可能性が高い,"用意ができた, ～に関係している、参加している, ～を無視する"
serious,深刻な,"正しい, すばらしい, ～を忘れる"
particular,ある特定の、特有の,"熟知している、くわしい, 個人の、私的な, ～を避ける"
available,手に入る、利用できる,"身体の、肉体の, 明白な, ～を無視する"
bilingual,二言語使用の,"～の価値がある, 母国の, ～を忘れる"
ready,用意ができた,"～に関係している、参加している, 複雑な, ～を避ける"
correct,正しい,"すばらしい, ～する気がある、～してもかまわない, ～を無視する"
familiar,熟知している、くわしい,"個人の、私的な, 最新の, ～を忘れる"
physical,身体の、肉体の,"明白な, 男の, ～を避ける"
worth,～の価値がある,"母国の, 適切な, ～を無視する"
involved,～に関係している、参加している,"複雑な, ～する能力がある, ～を忘れる"
fantastic,すばらしい,"～する気がある、～してもかまわない, 独立した, ～を避ける"
private,個人の、私的な,"最新の, 積極的な, ～を無視する"
obvious,明白な,"男の, 楽しい, ～を忘れる"
native,母国の,"適切な, 重要な, ～を避ける"
complex,複雑な,"～する能力がある, 前の, ～を無視する"
willing,～する気がある、～してもかまわない,"独立した, 化学的な, ～を忘れる"
current,最新の,"積極的な, 動揺している, ～を避ける"
male,男の,"楽しい, 前の, ～を無視する"
proper,適切な,"重要な, 冷静な, ～を忘れる"
capable,～する能力がある,"前の, 特定の, ～を避ける"
independent,独立した,"化学的な, 意識している, ～を無視する"
positive,積極的な,"動揺している, よりすぐれている, ～を忘れる"
pleasant,楽しい,"前の, 効率がいい, ～を避ける"
significant,重要な,"冷静な, 基本的な, ～を無視する"
former,前の,"特定の, 狭い, ～を忘れる"
chemical,化学的な,"意識している, 理にかなった, ～を避ける"
upset,動揺している,"よりすぐれている, 神経質な、不安な, ～を無視する"
previous,前の,"効率がいい, 似ている, ～を忘れる"
calm,冷静な,"基本的な, 家庭の、国内の, ～を避ける"
specific,特定の,"狭い, 否定の, ～を無視する"
conscious,意識している,"理にかなった, 道徳的な, ～を忘れる"
superior,よりすぐれている,"神経質な、不安な, 熱望している, ～を避ける"
efficient,効率がいい,"似ている, すばらしい, ～を無視する"
fundamental,基本的な,"家庭の、国内の, 悪い, ～を忘れる"
narrow,狭い,"否定の, 目を覚まして, ～を避ける"
reasonable,理にかなった,"道徳的な, 年老いた, ～を無視する"
nervous,神経質な、不安な,"熱望している, 心配して、切望して, ～を忘れる"
alike,似ている,"すばらしい, たくましい、骨の折れる, ～を避ける"
domestic,家庭の、国内の,"悪い, 核の、原子力の, ～を無視する"
negative,否定の,"目を覚まして, 合法の、法律の, ～を忘れる"
moral,道徳的な,"年老いた, 好奇心の強い, ～を避ける"
eager,熱望している,"心配して、切望して, 一般市民の, ～を無視する"
remarkable,すばらしい,"たくましい、骨の折れる, 最近の, ～を忘れる"
evil,悪い,"核の、原子力の, 上級の、先輩の, ～を避ける"
awake,目を覚まして,"合法の、法律の, その後, ～を無視する"
aged,年老いた,"好奇心の強い, ほとんど, ～を忘れる"
anxious,心配して、切望して,"一般市民の, それゆえに, ～を避ける"
tough,たくましい、骨の折れる,"最近の, 正確に, ～を無視する"
nuclear,核の、原子力の,"上級の、先輩の, ひょっとすると、どうしてもVできない, ～を忘れる"
legal,合法の、法律の,"その後, 反対に, ～を避ける"
curious,好奇心の強い,"ほとんど, 時々, ～を無視する"
civil,一般市民の,"それゆえに, どういうわけか、なぜか, ～を忘れる"
recent,最近の,"正確に, めったに～ない, ～を避ける"
senior,上級の、先輩の,"ひょっとすると、どうしてもVできない, それゆえ、そのように, ～を無視する"
afterward,その後,"反対に, いたる所に, ～を忘れる"
nearly,ほとんど,"時々, ～と違って, ～を避ける"
therefore,それゆえに,"どういうわけか、なぜか, ～に加えて, ～を無視する"
exactly,正確に,"めったに～ない, ～の向こうに；～できる範囲をこえて, ～を忘れる"
possibly,ひょっとすると、どうしてもVできない,"それゆえ、そのように, ～以内で, ～を避ける"
contrary,反対に,"いたる所に, ～もない, ～を無視する"
occasionally,時々,"～と違って, ～しない限り, ～を忘れる"
somehow,どういうわけか、なぜか,"～に加えて, ～を除いて, ～を避ける"
seldom,めったに～ない,"～の向こうに；～できる範囲をこえて, ～すべきである, ～を無視する"
thus,それゆえ、そのように,"～以内で, ～にもかかわらず, ～を忘れる"
throughout,いたる所に,"～もない, ～かどうか、～であろうとなかろうと, ～を避ける"
unlike,～と違って,"～しない限り, ～を説明する, ～を無視する"
besides,～に加えて,"～を除いて, ～を受け入れる, ～を忘れる"
beyond,～の向こうに；～できる範囲をこえて,"～すべきである, ～を生産する, ～を避ける"
within,～以内で,"～にもかかわらず, 存在する, ～を無視する"
nor,～もない,"～かどうか、～であろうとなかろうと, ～を表現する, ～を忘れる"
unless,～しない限り,"～を説明する, ～を加える, ～を避ける"
except,～を除いて,"～を受け入れる, ～を避ける, ～を無視する"
ought,～すべきである,"～を生産する, ～と結婚する, ～を忘れる"
in spite of,～にもかかわらず,"存在する, ～を守る, ～を避ける"
whether,～かどうか、～であろうとなかろうと,"～を表現する, ～に影響する, ～を無視する"
explain,～を説明する,"～を加える, ～を決定する, ～を忘れる"
accept,～を受け入れる,"～を避ける, ～を解決する, ～を避ける"
produce,～を生産する,"～と結婚する, ～を含んでいる, ～を無視する"
exist,存在する,"～を守る, ～を議論する, ～を忘れる"
express,～を表現する,"～に影響する, ～を無視する, ～を避ける"
add,～を加える,"～を決定する, ～を推測する, ～を無視する"
avoid,～を避ける,"～を解決する, 交換する, ～を忘れる"
marry,～と結婚する,"～を含んでいる, ～を満たす, ～を避ける"
protect,～を守る,"～を議論する, 苦情を言う, ～を無視する"
affect,～に影響する,"～を無視する, ～を達成する, ～を忘れる"
determine,～を決定する,"～を推測する, ～を可能にする, ～を避ける"
solve,～を解決する,"交換する, つもりだ, ～を無視する"
contain,～を含んでいる,"～を満たす, ～を得る, ～を忘れる"
discuss,～を議論する,"苦情を言う, 分割する, ～を避ける"
