question,all_answers,dummy_pool
ignore,～を無視する,"～を達成する, ～をいらいらさせる, ～を無視する"
guess,～を推測する,"～を可能にする, 異なる, ～を忘れる"
exchange,交換する,"つもりだ, ～を教育する, ～を避ける"
satisfy,～を満たす,"～を得る, ～を借りる, ～を無視する"
complain,苦情を言う,"分割する, ～を発明する, ～を忘れる"
achieve,～を達成する,"～をいらいらさせる, ～を促進する, ～を避ける"
enable,～を可能にする,"異なる, ～に忠告する, ～を無視する"
intend,つもりだ,"～を教育する, 辞める, ～を忘れる"
obtain,～を得る,"～を借りる, ～を許す, ～を避ける"
divide,分割する,"～を発明する, ～を勧める, ～を無視する"
annoy,～をいらいらさせる,"～を促進する, 謝る, ～を忘れる"
differ,異なる,"～に忠告する, ～に知らせる, ～を避ける"
educate,～を教育する,"辞める, ～に反対する, ～を無視する"
borrow,～を借りる,"～を許す, ～を信用する, ～を忘れる"
invent,～を発明する,"～を勧める, ～を選ぶ, ～を避ける"
promote,～を促進する,"謝る, ～をほめる, ～を無視する"
advise,～に忠告する,"～に知らせる, ～に対処する, ～を忘れる"
retire,辞める,"～に反対する, ～を提案する, ～を避ける"
permit,～を許す,"～を信用する, ～を呼吸する, ～を無視する"
recommend,～を勧める,"～を選ぶ, ～を非難する, ～を忘れる"
apologize,謝る,"～をほめる, ～に打ち勝つ, ～を避ける"
inform,～に知らせる,"～に対処する, ～を持っている, ～を無視する"
oppose,～に反対する,"～を提案する, ～を予言する, ～を忘れる"
trust,～を信用する,"～を呼吸する, ～を出版する, ～を避ける"
select,～を選ぶ,"～を非難する, 浮かぶ, ～を無視する"
praise,～をほめる,"～に打ち勝つ, ～を思い出す, ～を忘れる"
handle,～に対処する,"～を持っている, ～を探検する, ～を避ける"
propose,～を提案する,"～を予言する, ふりをする, ～を無視する"
breathe,～を呼吸する,"～を出版する, ～を吸収する, ～を忘れる"
criticize,～を非難する,"浮かぶ, ～に似ている, ～を避ける"
overcome,～に打ち勝つ,"～を思い出す, ～を引き裂く, ～を無視する"
possess,～を持っている,"～を探検する, ～を消費する, ～を忘れる"
predict,～を予言する,"ふりをする, 競争する, ～を避ける"
publish,～を出版する,"～を吸収する, ～をやめる, ～を無視する"
floating,浮かぶ,"～に似ている, ～を発表する, ～を忘れる"
recall,～を思い出す,"～を引き裂く, 反応する, ～を避ける"
explore,～を探検する,"～を消費する, 歩き回る, ～を無視する"
pretend,ふりをする,"競争する, メールを送る, ～を忘れる"
absorb,～を吸収する,"～をやめる, ～を生み出す, ～を避ける"
resemble,～に似ている,"～を発表する, ～を取る, ～を無視する"
tear,～を引き裂く,"反応する, 政府, ～を忘れる"
consume,～を消費する,"歩き回る, 知識, ～を避ける"
compete,競争する,"メールを送る, 国, ～を無視する"
quit,～をやめる,"～を生み出す, 努力, ～を忘れる"
announce,～を発表する,"～を取る, 時代, ～を避ける"
react,反応する,"政府, 人口, ～を無視する"
wander,歩き回る,"知識, 目的, ～を忘れる"
text,メールを送る,"国, 行動, ～を避ける"
generate,～を生み出す,"努力, 不足, ～を無視する"
score,～を取る,"時代, 技術, ～を忘れる"
government,政府,"人口, 質, ～を避ける"
knowledge,知識,"目的, 環境, ～を無視する"
nation,国,"行動, 役割, ～を忘れる"
effort,努力,"不足, 態度, ～を避ける"
period,時代,"技術, 筆者, ～を無視する"
population,人口,"質, 研究, ～を忘れる"
purpose,目的,"環境, 機会, ～を避ける"
behavior,行動,"役割, 源, ～を無視する"
lack,不足,"態度, 炭素, ～を忘れる"
skill,技術,"筆者, 形, ～を避ける"
quality,質,"研究, 利点, ～を無視する"
environment,環境,"機会, 方法, ～を忘れる"
role,役割,"源, 習慣, ～を避ける"
attitude,態度,"炭素, 細部, ～を無視する"
author,筆者,"形, 距離, ～を忘れる"
research,研究,"利点, 群衆, ～を避ける"
opportunity,機会,"方法, 例, ～を無視する"
source,源,"習慣, 願望, ～を忘れる"
carbon,炭素,"細部, 水準, ～を避ける"
shape,形,"距離, 仕事, ～を無視する"
advantage,利点,"群衆, 世代, ～を忘れる"
method,方法,"例, 責任, ～を避ける"
habit,習慣,"願望, 実験, ～を無視する"
detail,細部,"水準, 運動選手, ～を忘れる"
distance,距離,"仕事, 10年, ～を避ける"
crowd,群衆,"世代, 損失, ～を無視する"
instance,例,"責任, 熱, ～を忘れる"
desire,願望,"実験, 理論, ～を避ける"
standard,水準,"運動選手, 記述, ～を無視する"
task,仕事,"10年, 教授, ～を忘れる"
generation,世代,"損失, 機能, ～を避ける"
responsibility,責任,"熱, 表面, ～を無視する"
experiment,実験,"理論, 封筒, ～を忘れる"
athlete,運動選手,"記述, 組織, ～を避ける"
decade,10年,"教授, 政策, ～を無視する"
loss,損失,"機能, 資源, ～を忘れる"
fever,熱,"表面, 対比, ～を避ける"
theory,理論,"封筒, 洪水, ～を無視する"
statement,記述,"組織, 連れ合い, ～を忘れる"
professor,教授,"政策, 商品, ～を避ける"
function,機能,"資源, 動物, ～を無視する"
surface,表面,"対比, 構造, ～を忘れる"
envelope,封筒,"洪水, 伝統, ～を避ける"
organization,組織,"連れ合い, 体重, ～を無視する"
policy,政策,"商品, 慈善, ～を忘れる"
resource,資源,"動物, 市民, ～を避ける"
contrast,対比,"構造, 印象, ～を無視する"
flood,洪水,"伝統, マンガ, ～を忘れる"
mate,連れ合い,"体重, 経歴, ～を避ける"
goods,商品,"慈善, 用地, ～を無視する"
creature,動物,"市民, 乗客, ～を忘れる"
structure,構造,"印象, 暴力, ～を避ける"
tradition,伝統,"マンガ, 所得, ～を無視する"
weight,体重,"経歴, 気温, ～を忘れる"
charity,慈善,"用地, 大多数, ～を避ける"
citizen,市民,"乗客, 起源, ～を無視する"
impression,印象,"暴力, 文学, ～を忘れる"
cartoon,マンガ,"所得, 設備, ～を避ける"
career,経歴,"気温, 見知らぬ人, ～を無視する"
site,用地,"大多数, 強さ, ～を忘れる"
passenger,乗客,"起源, 惑星, ～を避ける"
violence,暴力,"文学, 小説, ～を無視する"
income,所得,"設備, 宗教, ～を忘れる"
temperature,気温,"見知らぬ人, 汚染, ～を避ける"
majority,大多数,"強さ, 富, ～を無視する"
origin,起源,"惑星, 文書, ～を忘れる"
literature,文学,"小説, もうけ, ～を避ける"
equipment,設備,"宗教, 技術, ～を無視する"
stranger,見知らぬ人,"汚染, 感情, ～を忘れる"
strength,強さ,"富, 現象, ～を避ける"
planet,惑星,"文書, 恐怖, ～を無視する"
fiction,小説,"もうけ, はしご, ～を忘れる"
religion,宗教,"技術, 十億, ～を避ける"
pollution,汚染,"感情, 地位, ～を無視する"
wealth,富,"現象, 若者, ～を忘れる"
document,文書,"恐怖, 自信, ～を避ける"
profit,もうけ,"はしご, 周辺, ～を無視する"
technique,技術,"十億, 家庭, ～を忘れる"
emotion,感情,"地位, 学者, ～を避ける"
phenomenon,現象,"若者, 調査, ～を無視する"
horror,恐怖,"自信, 語彙, ～を忘れる"
ladder,はしご,"周辺, 敵, ～を避ける"
billion,十億,"家庭, 建設, ～を無視する"
status,地位,"学者, 講義, ～を忘れる"
youth,若者,"調査, 指示, ～を避ける"
confidence,自信,"語彙, 危機, ～を無視する"
edge,周辺,"敵, 器具, ～を忘れる"
household,家庭,"建設, 作物, ～を避ける"
scholar,学者,"講義, 兵器, ～を無視する"
survey,調査,"指示, 装置, ～を忘れる"
vocabulary,語彙,"危機, 道, ～を避ける"
enemy,敵,"器具, 地震, ～を無視する"
construction,建設,"作物, 小川, ～を忘れる"
lecture,講義,"兵器, 概念, ～を避ける"
instruction,指示,"装置, 庭, ～を無視する"
crisis,危機,"道, 犠牲者, ～を忘れる"
instrument,器具,"地震, 燃料, ～を避ける"
crop,作物,"小川, 祖先, ～を無視する"
weapon,兵器,"概念, 土壌, ～を忘れる"
device,装置,"庭, 討論, ～を避ける"
path,道,"犠牲者, 犯罪, ～を無視する"
earthquake,地震,"燃料, 同僚, ～を忘れる"
stream,小川,"祖先, 棚, ～を避ける"
notion,概念,"土壌, 分析, ～を無視する"
yard,庭,"討論, 宇宙, ～を忘れる"
victim,犠牲者,"犯罪, 電気, ～を避ける"
fuel,燃料,"同僚, 昆虫, ～を無視する"
ancestor,祖先,"棚, 巣, ～を忘れる"
soil,土壌,"分析, 嵐, ～を避ける"
debate,討論,"宇宙, 十分な, ～を無視する"
crime,犯罪,"電気, 農業, ～を忘れる"
colleague,同僚,"昆虫, 遺伝子, ～を避ける"
shelf,棚,"巣, 証拠, ～を無視する"
analysis,分析,"嵐, 結果, ～を忘れる"
universe,宇宙,"十分な, 幼児, ～を避ける"
electricity,電気,"農業, 暇, ～を無視する"
insect,昆虫,"遺伝子, 細胞, ～を忘れる"
web,巣,"証拠, 才能, ～を避ける"
storm,嵐,"結果, 広告, ～を無視する"
plenty,十分な,"幼児, 程度, ～を忘れる"
agriculture,農業,"暇, ごみ, ～を避ける"
gene,遺伝子,"細胞, 一般, ～を無視する"
evidence,証拠,"才能, さまざまな, ～を忘れる"
consequence,結果,"広告, 似ている, ～を避ける"
infant,幼児,"程度, 完全な, ～を無視する"
leisure,暇,"ごみ, 急激な, ～を忘れる"
cell,細胞,"一般, 高価な, ～を避ける"
talent,才能,"さまざまな, 政治的な, ～を無視する"
advertising,広告,"似ている, 気づいている, ～を忘れる"
extent,程度,"完全な, 古代の, ～を避ける"
garbage,ごみ,"急激な, 医学の, ～を無視する"
general,一般,"高価な, 不可欠だ, ～を忘れる"
various,さまざまな,"政治的な, 巨大な, ～を避ける"
similar,似ている,"気づいている, ひどい, ～を無視する"
complete,完全な,"古代の, 実用的な, ～を忘れる"
sharp,急激な,"医学の, 全, ～を避ける"
expensive,高価な,"不可欠だ, いちばん好きな, ～を無視する"
political,政治的な,"巨大な, 快適な, ～を忘れる"
aware,気づいている,"ひどい, 小さい, ～を避ける"
ancient,古代の,"実用的な, 典型的な, ～を無視する"
medical,医学の,"全, 理想的な, ～を忘れる"
essential,不可欠だ,"いちばん好きな, 主要な, ～を避ける"
huge,巨大な,"快適な, 適切な, ～を無視する"
terrible,ひどい,"小さい, からの, ～を忘れる"
practical,実用的な,"典型的な, 急速な, ～を避ける"
entire,全,"理想的な, 精神の, ～を無視する"
favorite,いちばん好きな,"主要な, すばらしい, ～を忘れる"
comfortable,快適な,"適切な, 都合がいい, ～を避ける"
minor,小さい,"からの, 潜在的な, ～を無視する"
typical,典型的な,"急速な, 財政的な, ～を忘れる"
ideal,理想的な,"精神の, 莫大な, ～を避ける"
principal,主要な,"すばらしい, 珍しい, ～を無視する"
appropriate,適切な,"都合がいい, 人工, ～を忘れる"
empty,からの,"潜在的な, ちっちゃな, ～を避ける"
rapid,急速な,"財政的な, かなりの, ～を無視する"
mental,精神の,"莫大な, 敏感な, ～を忘れる"
excellent,すばらしい,"珍しい, 知的な, ～を避ける"
convenient,都合がいい,"人工, のどが渇く, ～を無視する"
potential,潜在的な,"ちっちゃな, 礼儀正しい, ～を忘れる"
financial,財政的な,"かなりの, 正確な, ～を避ける"
enormous,莫大な,"敏感な, 失礼な, ～を無視する"
rare,珍しい,"知的な, 十分な, ～を忘れる"
artificial,人工,"のどが渇く, 都会の, ～を避ける"
tiny,ちっちゃな,"礼儀正しい, 一時的な, ～を無視する"
considerable,かなりの,"正確な, 原始的な, ～を忘れる"
sensitive,敏感な,"失礼な, 永久, ～を避ける"
intellectual,知的な,"十分な, 高齢の, ～を無視する"
thirsty,のどが渇く,"都会の, 厳しい, ～を忘れる"
polite,礼儀正しい,"一時的な, 簡潔な, ～を避ける"
accurate,正確な,"原始的な, 流動的な, ～を無視する"
rude,失礼な,"永久, 最新の, ～を忘れる"
sufficient,十分な,"高齢の, 軍事的な, ～を避ける"
urban,都会の,"厳しい, 厳しい, ～を無視する"
temporary,一時的な,"簡潔な, 固体の, ～を忘れる"
primitive,原始的な,"流動的な, ばかな, ～を避ける"
permanent,永久,"最新の, 生物, ～を無視する"
elderly,高齢の,"軍事的な, おそらく, ～を忘れる"
severe,厳しい,"厳しい, ほとんど～ない, ～を避ける"
brief,簡潔な,"固体の, すぐに, ～を無視する"
mobile,流動的な,"ばかな, ついに, ～を忘れる"
latest,最新の,"生物, しばしば, ～を避ける"
military,軍事的な,"おそらく, 非常に, ～を無視する"
strict,厳しい,"ほとんど～ない, だんだん, ～を忘れる"
solid,固体の,"すぐに, すぐに, ～を避ける"
stupid,ばかな,"ついに, それにもかかわらず, ～を無視する"
biological,生物,"しばしば, その上, ～を忘れる"
probably,おそらく,"非常に, 比較的, ～を避ける"
hardly,ほとんど～ない,"だんだん, 一見, ～を無視する"
immediately,すぐに,"すぐに, 絶対, ～を忘れる"
eventually,ついに,"それにもかかわらず, 主に, ～を避ける"
frequently,しばしば,"その上, 大部分は, ～を無視する"
extremely,非常に,"比較的, およそ, ～を忘れる"
gradually,だんだん,"一見, 一晩, ～を避ける"
instantly,すぐに,"絶対, 偶然, ～を無視する"
nevertheless,それにもかかわらず,"主に, にもかかわらず, ～を忘れる"
moreover,その上,"大部分は, 進む, ～を避ける"
relatively,比較的,"およそ, ～を確実にする, ～を無視する"
apparently,一見,"一晩, ～を解釈する, ～を忘れる"
definitely,絶対,"偶然, ～しなくなる, ～を避ける"
largely,主に,"にもかかわらず, （公式に）～を禁止する, ～を無視する"
mostly,大部分は,"進む, ～に従う, ～を忘れる"
approximately,およそ,"～を確実にする, (不要なもの)を除去する, ～を避ける"
overnight,一晩,"～を解釈する, ～に抵抗する, ～を無視する"
accidentally,偶然,"～しなくなる, 〈人〉に同伴する, ～を忘れる"
despite,にもかかわらず,"（公式に）～を禁止する, (罪など)を犯す、～をゆだねる、委任する、(本気で)取り組む, ～を避ける"
proceed,進む,"～に従う, ～を追求する, ～を無視する"
ensure,～を確実にする,"(不要なもの)を除去する, (証明などが)～を明らかに示す, ～を忘れる"
interpret,～を解釈する,"～に抵抗する, きっと～だと思う, ～を避ける"
cease,～しなくなる,"〈人〉に同伴する, ～を台無しにする、破壊する, ～を無視する"
ban,（公式に）～を禁止する,"(罪など)を犯す、～をゆだねる、委任する、(本気で)取り組む, ～を脅迫する, ～を忘れる"
obey,～に従う,"～を追求する, AをBにくっつける, ～を避ける"
eliminate,(不要なもの)を除去する,"(証明などが)～を明らかに示す, ～を反対にする、逆転する, ～を無視する"
resist,～に抵抗する,"きっと～だと思う, ～を制限する, ～を忘れる"
accompany,〈人〉に同伴する,"～を台無しにする、破壊する, ～を組み立てる, ～を避ける"
commit,(罪など)を犯す、～をゆだねる、委任する、(本気で)取り組む,"～を脅迫する, よりかかる、もたれる, ～を無視する"
pursue,～を追求する,"AをBにくっつける, ～を代わりに用いる, ～を忘れる"
demonstrate,(証明などが)～を明らかに示す,"～を反対にする、逆転する, ～の跡をたどる, ～を避ける"
bet,きっと～だと思う,"～を制限する, ～を妨げる, ～を無視する"
ruin,～を台無しにする、破壊する,"～を組み立てる, ～の前に立ちふさがる、～に立ち向かう, ～を忘れる"
threaten,～を脅迫する,"よりかかる、もたれる, ～を（例で）示す, ～を避ける"
attach,AをBにくっつける,"～を代わりに用いる, ～を逮捕する, ～を無視する"
reverse,～を反対にする、逆転する,"～の跡をたどる, ～を刺激する, ～を忘れる"
restrict,～を制限する,"～を妨げる, （～を）保証する, ～を避ける"
compose,～を組み立てる,"～の前に立ちふさがる、～に立ち向かう, ～に相談する、～を参照する, ～を無視する"
lean,よりかかる、もたれる,"～を（例で）示す, ～を憂鬱にさせる, ～を忘れる"
substitute,～を代わりに用いる,"～を逮捕する, 激突する, ～を避ける"
trace,～の跡をたどる,"～を刺激する, ～を奮起させる、やる気にさせる, ～を無視する"
interrupt,～を妨げる,"（～を）保証する, Aを専門にする、専攻する, ～を忘れる"
confront,～の前に立ちふさがる、～に立ち向かう,"～に相談する、～を参照する, (植物)を栽培する、(感情・能力などを)育む, ～を避ける"
illustrate,～を（例で）示す,"～を憂鬱にさせる, (約束・夢など)を果たす, ～を無視する"
arrest,～を逮捕する,"激突する, ～を送る、伝える, ～を忘れる"
stimulate,～を刺激する,"～を奮起させる、やる気にさせる, ～を創立する、設立する, ～を避ける"
assure,（～を）保証する,"Aを専門にする、専攻する, (手など)をたたく, ～を無視する"
consult,～に相談する、～を参照する,"(植物)を栽培する、(感情・能力などを)育む, 破裂する、突然～しだす, ～を忘れる"
depress,～を憂鬱にさせる,"(約束・夢など)を果たす, おじぎする, ～を避ける"
crash,激突する,"～を送る、伝える, (考えなど)を無視する、(人)を解雇する、解散する, ～を無視する"
inspire,～を奮起させる、やる気にさせる,"～を創立する、設立する, ～を繁殖させる、繁殖する, ～を忘れる"
specialize,Aを専門にする、専攻する,"(手など)をたたく, 〈法・団体が〉～を禁じる, ～を避ける"
cultivate,(植物)を栽培する、(感情・能力などを)育む,"破裂する、突然～しだす, ～に強いる, ～を無視する"
fulfill,(約束・夢など)を果たす,"おじぎする, Aに適任である, ～を忘れる"
transmit,～を送る、伝える,"(考えなど)を無視する、(人)を解雇する、解散する, （金）を投資する, ～を避ける"
found,～を創立する、設立する,"～を繁殖させる、繁殖する, ～を理解する, ～を無視する"
clap,(手など)をたたく,"〈法・団体が〉～を禁じる, 崩壊する, ～を忘れる"
burst,破裂する、突然～しだす,"～に強いる, ～を見落とす、～を見逃す, ～を避ける"
bow,おじぎする,"Aに適任である, ～を非難する, ～を無視する"
dismiss,(考えなど)を無視する、(人)を解雇する、解散する,"（金）を投資する, 〈人〉を欲求不満にさせる, ～を忘れる"
breed,～を繁殖させる、繁殖する,"～を理解する, AからBを奪う, ～を避ける"
prohibit,〈法・団体が〉～を禁じる,"崩壊する, ～を驚嘆させる, ～を無視する"
oblige,～に強いる,"～を見落とす、～を見逃す, ～を登録する, ～を忘れる"
qualify,Aに適任である,"～を非難する, 一致する, ～を避ける"
invest,（金）を投資する,"〈人〉を欲求不満にさせる, ～を投げる, ～を無視する"
grasp,～を理解する,"AからBを奪う, AはBのおかげだと思う, ～を忘れる"
collapse,崩壊する,"～を驚嘆させる, ～を無視する、怠る, ～を避ける"
overlook,～を見落とす、～を見逃す,"～を登録する, 飢える, ～を無視する"
accuse,～を非難する,"一致する, (問題など)を解決する, ～を忘れる"
frustrate,〈人〉を欲求不満にさせる,"～を投げる, AをBに課す、押し付ける, ～を避ける"
deprive,AからBを奪う,"AはBのおかげだと思う, ～を転換する, ～を無視する"
astonish,～を驚嘆させる,"～を無視する、怠る, ～をおびえさせる, ～を忘れる"
register,～を登録する,"飢える, ～を構成する、占める、～である, ～を避ける"
correspond,一致する,"(問題など)を解決する, ～を任命する, ～を無視する"
cast,～を投げる,"AをBに課す、押し付ける, ～を(暗に)意味する, ～を忘れる"
attribute,AはBのおかげだと思う,"～を転換する, (仕事・物)を割り当てる, ～を避ける"
neglect,～を無視する、怠る,"～をおびえさせる, うなずく, ～を無視する"
starve,飢える,"～を構成する、占める、～である, ～を選挙で選ぶ, ～を忘れる"
resolve,(問題など)を解決する,"～を任命する, ～を移す, ～を避ける"
impose,AをBに課す、押し付ける,"～を(暗に)意味する, AからBを奪う, ～を無視する"
convert,～を転換する,"(仕事・物)を割り当てる, ～を捕らえる, ～を忘れる"
scare,～をおびえさせる,"うなずく, （仕事など）を引き受ける, ～を避ける"
constitute,～を構成する、占める、～である,"～を選挙で選ぶ, おぼれ死ぬ, ～を無視する"
appoint,～を任命する,"～を移す, ～を割る、分裂する, ～を忘れる"
imply,～を(暗に)意味する,"AからBを奪う, Aに訴える, ～を避ける"
assign,(仕事・物)を割り当てる,"～を捕らえる, 下る、降りる, ～を無視する"
nod,うなずく,"（仕事など）を引き受ける, ～をいらだたせる, ～を忘れる"
elect,～を選挙で選ぶ,"おぼれ死ぬ, 〈単語など〉を発音する, ～を避ける"
transfer,～を移す,"～を割る、分裂する, ～を装備させる, ～を無視する"
rob,AからBを奪う,"Aに訴える, いかさまをする, ～を忘れる"
capture,～を捕らえる,"下る、降りる, 〈隠れていたものが〉現れる, ～を避ける"
undertake,（仕事など）を引き受ける,"～をいらだたせる, ～をささげる, ～を無視する"
drown,おぼれ死ぬ,"〈単語など〉を発音する, 〈けがなど〉を治す、治る, ～を忘れる"
split,～を割る、分裂する,"～を装備させる, ～に強く迫る、～を説得する, ～を避ける"
resort,Aに訴える,"いかさまをする, ～をうらやむ, ～を無視する"
descend,下る、降りる,"〈隠れていたものが〉現れる, ～を追いかける, ～を忘れる"
irritate,～をいらだたせる,"～をささげる, ～を促す, ～を避ける"
pronounce,〈単語など〉を発音する,"〈けがなど〉を治す、治る, ～を引っ込める、引きこもる、退く、(預金など)を引き出す, ～を無視する"
equip,～を装備させる,"～に強く迫る、～を説得する, ～を探知する、～を発見する, ～を忘れる"
cheat,いかさまをする,"～をうらやむ, Aを邪魔する, ～を避ける"
emerge,〈隠れていたものが〉現れる,"～を追いかける, 冗談を言う、からかう, ～を無視する"
devote,～をささげる,"～を促す, (ロケットなど)を打ち上げる, ～を忘れる"
heal,〈けがなど〉を治す、治る,"～を引っ込める、引きこもる、退く、(預金など)を引き出す, ～を危険にさらす, ～を避ける"
urge,～に強く迫る、～を説得する,"～を探知する、～を発見する, ～を促進する、育成する, ～を無視する"
envy,～をうらやむ,"Aを邪魔する, 減少する、衰える、～を減らす, ～を忘れる"
chase,～を追いかける,"冗談を言う、からかう, ～をこぼす, ～を避ける"
prompt,～を促す,"(ロケットなど)を打ち上げる, 〈人〉に感染する, ～を無視する"
withdraw,～を引っ込める、引きこもる、退く、(預金など)を引き出す,"～を危険にさらす, Aから生じる、Aに由来する, ～を忘れる"
detect,～を探知する、～を発見する,"～を促進する、育成する, ～を軽くたたく, ～を避ける"
interfere,Aを邪魔する,"減少する、衰える、～を減らす, 受け入れる、含む, ～を無視する"
kid,冗談を言う、からかう,"～をこぼす, 比率, ～を忘れる"
launch,(ロケットなど)を打ち上げる,"〈人〉に感染する, 契約, ～を避ける"
endanger,～を危険にさらす,"Aから生じる、Aに由来する, 胸, ～を無視する"
foster,～を促進する、育成する,"～を軽くたたく, 財宝, ～を忘れる"
diminish,減少する、衰える、～を減らす,"受け入れる、含む, 株(式), ～を避ける"
spill,～をこぼす,"比率, 設備、施設, ～を無視する"
infect,〈人〉に感染する,"契約, 金額、合計、要約, ～を忘れる"
stem,Aから生じる、Aに由来する,"胸, 地位, ～を避ける"
tap,～を軽くたたく,"財宝, 民主主義、民主国家, ～を無視する"
embrace,受け入れる、含む,"株(式), 緊急事態, ～を忘れる"
proportion,比率,"設備、施設, 抗議, ～を避ける"
contract,契約,"金額、合計、要約, 移民, ～を無視する"
chest,胸,"地位, 車、乗り物、手段, ～を忘れる"
treasure,財宝,"民主主義、民主国家, 決まりきった仕事、日課, ～を避ける"
stock,株(式),"緊急事態, 物, ～を無視する"
facility,設備、施設,"抗議, 列, ～を忘れる"
sum,金額、合計、要約,"移民, プロフィール、人物紹介、横顔, ～を避ける"
rank,地位,"車、乗り物、手段, 夜明け, ～を無視する"
democracy,民主主義、民主国家,"決まりきった仕事、日課, 福祉, ～を忘れる"
emergency,緊急事態,"物, 見方, ～を避ける"
protest,抗議,"列, 熱意、情熱, ～を無視する"
immigrant,移民,"プロフィール、人物紹介、横顔, 信頼, ～を忘れる"
vehicle,車、乗り物、手段,"夜明け, 職業、占領, ～を避ける"
routine,決まりきった仕事、日課,"福祉, 証人、目撃者, ～を無視する"
stuff,物,"見方, 王国, ～を忘れる"
row,列,"熱意、情熱, 同等のもの、相当するもの, ～を避ける"
profile,プロフィール、人物紹介、横顔,"信頼, 目的、目標、客観的な, ～を無視する"
dawn,夜明け,"職業、占領, 積み重ね, ～を忘れる"
welfare,福祉,"証人、目撃者, 避難(所), ～を避ける"
perspective,見方,"王国, 試み、裁判, ～を無視する"
enthusiasm,熱意、情熱,"同等のもの、相当するもの, 名誉, ～を忘れる"
faith,信頼,"目的、目標、客観的な, 領土、なわ張り, ～を避ける"
occupation,職業、占領,"積み重ね, わく, ～を無視する"
witness,証人、目撃者,"避難(所), 国境地帯, ～を忘れる"
kingdom,王国,"試み、裁判, 統計(学), ～を避ける"
equivalent,同等のもの、相当するもの,"名誉, 企業、事業, ～を無視する"
objective,目的、目標、客観的な,"領土、なわ張り, 文脈、状況, ～を忘れる"
pile,積み重ね,"わく, 荷物, ～を避ける"
shelter,避難(所),"国境地帯, 穀物, ～を無視する"
trial,試み、裁判,"統計(学), 再検討, ～を忘れる"
honor,名誉,"企業、事業, 偏見, ～を避ける"
territory,領土、なわ張り,"文脈、状況, 負担, ～を無視する"
frame,わく,"荷物, わな、閉じ込められる、わなにかける, ～を忘れる"
border,国境地帯,"穀物, 気性, ～を避ける"
statistics,統計(学),"再検討, 奴隷, ～を無視する"
enterprise,企業、事業,"偏見, 傷, ～を忘れる"
context,文脈、状況,"負担, 離婚, ～を避ける"
load,荷物,"わな、閉じ込められる、わなにかける, 曲, ～を無視する"
grain,穀物,"気性, 高さ、最盛期, ～を忘れる"
